,Labels,Race,Gender,Nº of labels,Confidence level,Eyebrow,%,Eye,%,Smile,%,Electric Blue,%,Happy,%,Street Fashion,%,Fashion Accessory,%,Art,%,Portrait Photography,%,Fun,%,Tradition,%,Landscape,%,Portrait,%,Neck,%,Sleeve,%,Purple,%,Wrap,%,Shawl,%,Veil,%,Pattern,%,Forehead,%,Lip,%,Shoulder,%,Flash Photography,%,Jaw,,Cap,,Eyelash,,Grey,,Eyewear,,Black hair,,Cool,,Tints and Shades,,T-shirt,,Hat,,Fashion Design,,Bangs,,Darkness,,Blond,,Brown Hair,,Monochrome Photography,,Monochrome,,Shadow,,Visual Arts,,Audio Equipment,,Photo Shoot,,Beanie,,Top,,Sitting,,Cheek,,Chin,,Muscle,,Mouth,,Human body,,Gesture,,Elbow,,Chest,,Beard,,Facial Hair,%,Laugh,,Active shirt,,White-collar worker,,Grass,,Jewellery,,Outerwear,,Collar,,Blazer,,Formal Wear,,Wool,,Stole,,Businessperson,,Flesh,,Surfer hair,,Pleased,,Throat,,Selfie,,Wrinkle,,No Expression,,Moustache,,Dress shirt,,Ear,,Nose,,Hair,,Clothing,,Child,,Event,,Close-up,,Adaptation,,Headgear,,Organ,,Hairstyle,,Skin,,Face,,Glasses,,Jheri Curl,,Ringlet,,Afro,,Microphone,,Lipstick,,Wig,,Audio equipment,,Music artist,,Entertainment,,Artificial hair integrations,,Performing arts,,Singer,,Lace wig,,Layered hair,,Hair coloring,,Crew cut,,Buzz cut,,Caesar cut,,Head,,Iris,,Makeover,,Long hair,,Step cutting,,Beauty,,Illustration,,Fashion Model,,Feathered hair,,Self-portrait,,Model,,Red,,Scarf,,Sari,,Peach,,Joint,,Human,,Woolen,,Woven fabric,,Craft,,Knitting,,Undershirt,,Vest,,Eye Liner,,Violet,,Eye Shadow,,Cg Artwork,,People in Nature,,Cosmetics,,Nail,,Painting,,Drawing,,Graphics,,Graphic Design,,Watercolor Paint,,Pixie Cut,,Crop,,Bob Cut,,Active Tank,,Camisoles,,Sleeveless Shirt,,Waist,,Bridal Accessory,,Abdomen,,Facial Expression,%,Temple,%,Tooth,%,Tie,%,Fur,%,Military Camouflage,%,Day Dress,%,Cosmetic Dentristry,%,Earrings,%,Vision Care,%,Thumb,%,Knit Cap,%,Suit,%,Tartan,%,Plaid,%,Magenta,%,Turban,%,Body Jewelry,%,Trunk,%,Necklace,%,Thigh,%,Wrist,%,Body Piercing,%,Cornrows,%,Button,%,Dreadlocks,%
Luísa,Image1,Black,F,36,82,YES,95,YES,94,YES,98,NO,,YES,86,NO,,YES,66,YES,75,YES,61,YES,74,NO,,NO,,YES,62,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,YES,97,NO,,YES,88,YES,88,NO,,YES,88,NO,,NO,,YES,82,YES,81,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,53,NO,,NO,,NO,,NO,,NO,,YES,98,YES,97,NO,,YES,92,NO,,YES,85,NO,,YES,70,NO,,YES,75,YES,65,NO,,NO,,NO,,YES,62,NO,,YES,84,NO,,NO,,NO,,NO,,NO,,YES,53,NO,,NO,,NO,,NO,,YES,68,NO,,YES,59,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,YES,71,NO,,NO,,NO,,NO,,YES,97,NO,,NO,,YES,91,NO,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,93,YES,87,YES,86,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
,Image2,Black,F,29,90,YES,94,YES,93,NO,,NO,,NO,,YES,68,YES,55,NO,,YES,57,NO,,NO,,NO,,YES,55,YES,88,YES,87,NO,,NO,,NO,,NO,,YES,64,NO,,YES,97,NO,,YES,88,YES,88,NO,,YES,90,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,66,NO,,NO,,NO,,NO,,NO,,YES,51,NO,,NO,,NO,,YES,98,YES,97,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,58,NO,,NO,,NO,,YES,76,NO,,NO,,NO,,NO,,NO,,NO,,YES,70,NO,,NO,,NO,,NO,,YES,63,NO,,NO,,NO,,NO,,NO,,YES,69,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,67,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,68,YES,61,YES,52,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
,Image3,Black,F,31,81,YES,95,NO,,YES,98,NO,,YES,97,NO,,YES,68,NO,,YES,59,YES,74,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,YES,97,NO,,NO,,YES,88,NO,,YES,84,NO,,NO,,YES,83,YES,82,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,YES,97,NO,,NO,,YES,90,NO,,NO,,YES,58,NO,,NO,,YES,60,NO,,NO,,NO,,YES,65,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,69,NO,,NO,,YES,55,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,90,YES,95,YES,97,NO,,NO,,YES,95,NO,,YES,87,NO,,NO,,YES,79,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,59,NO,,YES,97,NO,,NO,,NO,,NO,,YES,75,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,74,YES,55,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
,Image4,White,M,24,95,NO,,YES,94,YES,98,NO,,YES,85,NO,,NO,,NO,,YES,59,YES,62,NO,,NO,,YES,56,YES,88,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,83,YES,88,NO,,NO,,YES,84,YES,87,NO,,NO,,NO,,YES,65,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,85,NO,,NO,,YES,85,YES,80,YES,58,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,70,NO,,YES,72,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,94,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
,Image5,Middle Eastern,M,22,70,NO,,NO,,NO,,NO,,NO,,NO,,YES,67,NO,,YES,58,NO,,NO,,NO,,YES,50,NO,,YES,87,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,NO,,YES,88,YES,78,YES,61,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,55,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,85,NO,,NO,,YES,92,YES,76,NO,,NO,,YES,82,NO,,NO,,NO,,NO,,YES,78,YES,71,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,52,YES,73,YES,75,YES,83,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,64,YES,54,YES,54,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
,Image6,Middle Eastern,M,28,97,YES,94,YES,93,YES,98,YES,72,NO,,YES,81,YES,65,NO,,YES,60,YES,50,NO,,NO,,NO,,NO,,YES,87,YES,87,NO,,NO,,NO,,YES,75,NO,,YES,97,NO,,NO,,YES,88,YES,76,NO,,NO,,NO,,NO,,YES,81,NO,,YES,61,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,53,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,90,YES,72,YES,55,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,51,NO,,NO,,NO,,NO,,NO,,NO,,YES,70,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,83,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,56,NO,,YES,85,YES,77,YES,73,YES,71,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
,Image7,Indian,F,35,96,NO,,NO,,NO,,NO,,YES,74,NO,,YES,67,NO,,YES,60,YES,68,YES,53,NO,,NO,,YES,97,NO,,NO,,NO,,NO,,NO,,YES,58,NO,,YES,97,NO,,YES,88,NO,,NO,,YES,92,NO,,NO,,YES,78,NO,,NO,,NO,,NO,,YES,77,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,54,NO,,NO,,YES,53,YES,98,YES,97,NO,,YES,92,NO,,YES,85,NO,,YES,72,NO,,NO,,NO,,NO,,NO,,NO,,YES,75,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,62,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,73,NO,,NO,,NO,,NO,,NO,,YES,97,YES,98,NO,,NO,,NO,,NO,,NO,,YES,94,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,70,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,63,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,76,YES,75,YES,72,YES,66,YES,64,YES,62,NO,,NO,,NO,
,Image8,Black,F,24,88,YES,95,NO,,YES,60,NO,,YES,74,NO,,NO,,YES,67,YES,57,YES,68,NO,,NO,,YES,58,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,YES,86,NO,,NO,,NO,,NO,,YES,86,NO,,NO,,NO,,NO,,NO,,YES,69,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,54,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,55,NO,,NO,,NO,,NO,,YES,71,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,YES,70,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,64,YES,94,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,67,NO,,NO,,NO,,YES,71,YES,62,YES,52
Victoria,Image9,Asian,M,21,98,YES,94,NO,,YES,97,NO,,YES,82,NO,,NO,,NO,,YES,58,NO,,NO,, NO,,YES,56,YES,88,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,88,YES,88,NO,,YES,75,NO,,NO,,NO,,NO,,NO,,YES,69,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES ,51,NO,,YES,56,YES,63,YES,98,NO,,NO,,NO,,NO,,YES,85,YES,84,NO,,NO,,NO,,YES,52,YES,65,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,63,NO,,NO,,NO,,NO,
,Image10,White,M,24,79,YES,94,NO,,NO,,NO,,NO,,YES,60,NO,,NO,,YES,60,NO,,NO,,NO,,YES,60,YES,89,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,YES,86,YES,88,NO,,YES,92,NO,,NO,,NO,,NO,,NO,,YES,85,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,53,NO,,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,93,YES,84,NO,,YES,52,YES,61,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,70,NO,,NO,,YES,68,YES,78,NO,,NO,,YES,98,YES,98,YES,99,NO,,NO,,YES,70,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,64,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
Karolina,Image18,Black,F,13,75,YES,94,YES,94,YES,85,YES,75,YES,72,YES,68,YES,65,YES,62,YES,61,YES,57,YES,57,YES,55,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image20,Asian,F,37,84,YES,95,YES,93,NO,,NO,,NO,,YES,82,YES,67,NO,,YES,62,YES,55,NO,,NO,,YES,60,YES,88,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image19,Asian,F,13,74,NO,,YES,94,YES,82,YES,75,NO,,YES,61,YES,67,NO,,YES,57,NO,,NO,,NO,,NO,,YES,88,YES,87,YES,86,YES,82,YES,66,YES,60,YES,56,YES,98,YES,97,YES,94,YES,89,YES,88,YES,88,YES,88,YES,84,YES,83,YES,82,YES,81,YES,77,YES,76,YES,74,YES,72,YES,72,YES,71,YES,71,YES,67,YES,66,YES,64,YES,63,YES,57,YES,57,YES,56,YES,55,YES,54,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image21,Asian,F,40,93,YES,94,YES,94,YES,71,NO,,YES,81,YES,70,YES,58,NO,,YES,61,NO,,NO,,NO,,YES,59,YES,89,YES,87,NO,,NO,,NO,,NO,,YES,64,YES,98,YES,97,NO,,YES,85,YES,88,NO,,YES,92,NO,,NO,,YES,79,YES,81,NO,,NO,,NO,,NO,,YES,58,NO,,NO,,YES,73,NO,,NO,,NO,,NO,,NO,,YES,56,NO,,NO,,NO,,YES,98,YES,97,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,55,NO,,NO,,NO,,NO,,YES,73,NO,,NO,,NO,,NO,,NO,,NO,,YES,51,NO,,NO,,NO,,NO,,NO,,YES,98,YES,98,NO,,NO,,NO,,YES,70,NO,,NO,,YES,90,NO,,YES,98,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,79,YES,60,NO,,NO,,NO,,NO,,NO,,NO,,YES,76,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,89,YES,73,YES,61,YES,57,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
